2019-01-01;\N
2019-01-02;\N
2019-01-03;\N
2019-01-04;\N
2019-01-05;\N
2019-01-06;\N
2019-01-07;\N
2019-01-08;\N
2019-01-09;\N
2019-01-10;\N
2019-01-11;\N
2019-01-12;\N
2019-01-13;\N
2019-01-14;\N
2019-01-15;\N
2019-01-16;\N
2019-01-17;\N
2019-01-18;\N
2019-01-19;\N
2019-01-20;\N
2019-01-21;\N
2019-01-22;\N
2019-01-23;3290
2019-01-24;\N
2019-01-25;\N
2019-01-26;\N
2019-01-27;\N
2019-01-28;\N
2019-01-29;\N
2019-01-30;\N
2019-01-31;\N
2019-02-01;\N
2019-02-02;\N
2019-02-03;\N
2019-02-04;\N
2019-02-05;\N
2019-02-06;\N
2019-02-07;\N
2019-02-08;\N
2019-02-09;\N
2019-02-10;\N
2019-02-11;\N
2019-02-12;\N
2019-02-13;\N
2019-02-14;\N
2019-02-15;\N
2019-02-16;\N
2019-02-17;\N
2019-02-18;\N
2019-02-19;\N
2019-02-20;\N
2019-02-21;\N
2019-02-22;\N
2019-02-23;\N
2019-02-24;\N
2019-02-25;\N
2019-02-26;\N
2019-02-27;\N
2019-02-28;\N
2019-03-01;\N
2019-03-02;\N
2019-03-03;\N
2019-03-04;\N
2019-03-05;\N
2019-03-06;\N
2019-03-07;\N
2019-03-08;\N
2019-03-09;\N
2019-03-10;\N
2019-03-11;\N
2019-03-12;\N
2019-03-13;\N
2019-03-14;\N
2019-03-15;\N
2019-03-16;4680
2019-03-17;\N
2019-03-18;\N
2019-03-19;\N
2019-03-20;\N
2019-03-21;\N
2019-03-22;\N
2019-03-23;\N
2019-03-24;\N
2019-03-25;\N
2019-03-26;\N
2019-03-27;\N
2019-03-28;\N
2019-03-29;\N
2019-03-30;\N
2019-03-31;\N
2019-04-01;\N
2019-04-02;\N
2019-04-03;\N
2019-04-04;\N
2019-04-05;\N
2019-04-06;\N
2019-04-07;\N
2019-04-08;\N
2019-04-09;\N
2019-04-10;6858
2019-04-11;\N
2019-04-12;\N
2019-04-13;\N
2019-04-14;\N
2019-04-15;\N
2019-04-16;\N
2019-04-17;\N
2019-04-18;\N
2019-04-19;\N
2019-04-20;\N
2019-04-21;\N
2019-04-22;1336
2019-04-23;\N
2019-04-24;\N
2019-04-25;\N
2019-04-26;\N
2019-04-27;\N
2019-04-28;\N
2019-04-29;\N
2019-04-30;\N
2019-05-01;\N
2019-05-02;\N
2019-05-03;\N
2019-05-04;\N
2019-05-05;\N
2019-05-06;\N
2019-05-07;\N
2019-05-08;\N
2019-05-09;\N
2019-05-10;\N
2019-05-11;\N
2019-05-12;\N
2019-05-13;\N
2019-05-14;\N
2019-05-15;\N
2019-05-16;\N
2019-05-17;\N
2019-05-18;\N
2019-05-19;\N
2019-05-20;\N
2019-05-21;\N
2019-05-22;\N
2019-05-23;\N
2019-05-24;\N
2019-05-25;\N
2019-05-26;\N
2019-05-27;\N
2019-05-28;\N
2019-05-29;\N
2019-05-30;\N
2019-05-31;\N
2019-06-01;\N
2019-06-02;\N
2019-06-03;\N
2019-06-04;\N
2019-06-05;\N
2019-06-06;\N
2019-06-07;\N
2019-06-08;\N
2019-06-09;\N
2019-06-10;\N
2019-06-11;\N
2019-06-12;\N
2019-06-13;\N
2019-06-14;\N
2019-06-15;\N
2019-06-16;\N
2019-06-17;\N
2019-06-18;\N
2019-06-19;\N
2019-06-20;\N
2019-06-21;\N
2019-06-22;\N
2019-06-23;\N
2019-06-24;\N
2019-06-25;\N
2019-06-26;\N
2019-06-27;\N
2019-06-28;\N
2019-06-29;\N
2019-06-30;3708
2019-07-01;\N
2019-07-02;\N
2019-07-03;\N
2019-07-04;\N
2019-07-05;\N
2019-07-06;\N
2019-07-07;\N
2019-07-08;\N
2019-07-09;\N
2019-07-10;\N
2019-07-11;\N
2019-07-12;\N
2019-07-13;\N
2019-07-14;\N
2019-07-15;\N
2019-07-16;\N
2019-07-17;\N
2019-07-18;\N
2019-07-19;\N
2019-07-20;\N
2019-07-21;\N
2019-07-22;\N
2019-07-23;1058
2019-07-24;\N
2019-07-25;\N
2019-07-26;\N
2019-07-27;\N
2019-07-28;873
2019-07-29;\N
2019-07-30;\N
2019-07-31;\N
2019-08-01;\N
2019-08-02;\N
2019-08-03;\N
2019-08-04;\N
2019-08-05;\N
2019-08-06;\N
2019-08-07;\N
2019-08-08;\N
2019-08-09;\N
2019-08-10;\N
2019-08-11;\N
2019-08-12;\N
2019-08-13;\N
2019-08-14;\N
2019-08-15;\N
2019-08-16;\N
2019-08-17;\N
2019-08-18;\N
2019-08-19;\N
2019-08-20;\N
2019-08-21;\N
2019-08-22;\N
2019-08-23;\N
2019-08-24;\N
2019-08-25;\N
2019-08-26;\N
2019-08-27;\N
2019-08-28;\N
2019-08-29;\N
2019-08-30;\N
2019-08-31;\N
2019-09-01;\N
2019-09-02;\N
2019-09-03;\N
2019-09-04;\N
2019-09-05;\N
2019-09-06;\N
2019-09-07;\N
2019-09-08;\N
2019-09-09;\N
2019-09-10;\N
2019-09-11;\N
2019-09-12;\N
2019-09-13;\N
2019-09-14;\N
2019-09-15;\N
2019-09-16;\N
2019-09-17;\N
2019-09-18;\N
2019-09-19;\N
2019-09-20;\N
2019-09-21;\N
2019-09-22;\N
2019-09-23;\N
2019-09-24;\N
2019-09-25;\N
2019-09-26;\N
2019-09-27;\N
2019-09-28;\N
2019-09-29;\N
2019-09-30;\N
2019-10-01;\N
2019-10-02;\N
2019-10-03;\N
2019-10-04;\N
2019-10-05;\N
2019-10-06;1472
2019-10-07;\N
2019-10-08;\N
2019-10-09;\N
2019-10-10;\N
2019-10-11;\N
2019-10-12;\N
2019-10-13;\N
2019-10-14;\N
2019-10-15;\N
2019-10-16;\N
2019-10-17;\N
2019-10-18;\N
2019-10-19;\N
2019-10-20;\N
2019-10-21;\N
2019-10-22;\N
2019-10-23;\N
2019-10-24;\N
2019-10-25;\N
2019-10-26;\N
2019-10-27;\N
2019-10-28;\N
2019-10-29;\N
2019-10-30;\N
2019-10-31;\N
2019-11-01;\N
2019-11-02;\N
2019-11-03;\N
2019-11-04;\N
2019-11-05;\N
2019-11-06;\N
2019-11-07;\N
2019-11-08;\N
2019-11-09;\N
2019-11-10;\N
2019-11-11;\N
2019-11-12;\N
2019-11-13;\N
2019-11-14;\N
2019-11-15;\N
2019-11-16;\N
2019-11-17;\N
2019-11-18;\N
2019-11-19;\N
2019-11-20;\N
2019-11-21;\N
2019-11-22;\N
2019-11-23;\N
2019-11-24;\N
2019-11-25;\N
2019-11-26;\N
2019-11-27;\N
2019-11-28;\N
2019-11-29;\N
2019-11-30;\N
2019-12-01;\N
2019-12-02;\N
2019-12-03;\N
2019-12-04;\N
2019-12-05;\N
2019-12-06;\N
2019-12-07;\N
2019-12-08;\N
2019-12-09;\N
2019-12-10;\N
2019-12-11;\N
2019-12-12;\N
2019-12-13;\N
2019-12-14;7850
2019-12-15;\N
2019-12-16;\N
2019-12-17;\N
2019-12-18;\N
2019-12-19;\N
2019-12-20;\N
2019-12-21;\N
2019-12-22;\N
2019-12-23;\N
2019-12-24;\N
2019-12-25;4809
2019-12-26;\N
2019-12-27;\N
2019-12-28;\N
2019-12-29;\N
2019-12-30;\N
2019-12-31;\N
